report_date,market_and_exchange_names,open_interest_all,large_spec_net,commercial_net
2022-09-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15337,1322,-1301
2022-09-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13089,126,-320
2022-09-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13880,577,-812
2022-09-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14271,1024,-1221
2022-10-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14230,-32,-421
2022-10-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15756,857,-1077
2022-10-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14228,22,-665
2022-10-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14854,23,-380
2022-11-01 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12183,-452,-16
2022-11-08 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14439,18,-449
2022-11-15 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,17901,571,-914
2022-11-22 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,18354,706,-1009
2022-11-29 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16832,324,-780
2022-12-06 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15769,67,-568
2022-12-13 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13989,-40,-409
2022-12-20 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14563,317,-795
2022-12-27 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16028,693,-1039
2023-01-03 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14530,389,-578
2023-01-10 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14891,-594,-29
2023-01-17 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15885,-627,337
2023-01-24 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,17390,-1437,912
2023-01-31 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,17542,-1799,920
2023-02-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16843,-1178,567
2023-02-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15158,-783,365
2023-02-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,16501,-812,438
2023-02-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15161,-599,286
2023-03-07 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12821,41,-152
2023-03-14 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13472,-102,-283
2023-03-21 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14049,-621,-103
2023-03-28 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14409,-276,-271
2023-04-04 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13380,-615,-183
2023-04-11 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15977,-1122,373
2023-04-18 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,15385,-489,-176
2023-04-25 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,14064,-293,-296
2023-05-02 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,12521,168,-819
2023-05-09 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13102,423,-1131
2023-05-16 00:00:00+00:00,BITCOIN - CHICAGO MERCANTILE EXCHANGE,13043,1011,-1463
